taxon,life form,habitat,habit,clonality,perennial organ,plant height [m],indumentum,spinescence,succulence,leaf arrangement,leaf architecture,leaf position,leaf shape,leaf apex,leaf base,leaf margin,leaf defence,leaf min width [cm],leaf max width [cm],leaf min length [cm],leaf max length [cm],inflorescence arrangement,flower sex,flower architecture,flower merosity,flower symmetry,flower shape,flower colour,petal fusion,petal colour,reproduction architecture,reproduction system,stamen count,stamen number,stamen arrangement,carpel/ovary number,gynoecium arrangement,heterostyly,pollination,fruit type,fruit structure,fruit dehiscence,fruit shape,fruit colour,dispersule min width [cm],dispersule max width [cm],dispersule min length [cm],dispersule max length [cm],dispersal mode,dispersion axillary,seed colour,seeds max per fruit,seeds min per fruit,seed min width [mm],seed max width [mm],seed min length [mm],seed max length [mm],max seed volume,ploidy,ploidy level,root system,root depth type,root depth [cm],sources
Rhynchospora alba,perennial;helophyte,"Wet heaths;Raised bogs;Acid, sphagnous, boggy, open sites, poor fens, often on floating mats or peaty interstices of rocky shores",Stem erect ,rhizomes;hypogeogeneous stems;bulbils;Rhizomes;Rhizome shortly creeping,Stems;stems;rhizomes;Rhizomes,0.25;0.1;0.5;0.06-0.75,glabrous,glabrous,,,,,tapering;simple;flat;filiform;linear,acute,,entire;linear;flat,glabrous,0.1;0.05,0.15;0.2,15;0.05,15;0.15,clusters,,,,,,white,,,,hermaphrodite,2,,,,,,wind,,,,,,,,,,   shaken fresh water;water,Bristles;bristles;hairs,,,,1.5,2,1.5,2,,,,,shallow,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 15, 'tabular': 13}, 'fna': {'text': 12, 'tabular': 1}}"
Rhynchospora fusca,perennial;helophyte,"Sands and peats of pond shores, bogs, and seeps;Wet heaths;Raised bogs",Stem erect ,stoloniferous;rhizomes;epigeogeneous stems;bulbils;Rhizomes;creeping;Rhizome far creeping,stems;stoloniferous;rhizomes;Rhizomes;Stems,0.1-0.4;0.1-0.5;0.3;0.2;0.1,glabrous,glabrous,,,,,filiform;simple,acute,,entire,glabrous,0.15;0.1,0.2,15,15,clusters;heads;cluster,,,,,branches,red-brown,,,,hermaphrodite,2,,,,,,wind,,,,,,,,,,   shaken fresh water;water,Bristles;awn;bristles;hairs,brown,,,1.5,2,1.5,2,,,,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 17, 'tabular': 12}, 'fna': {'text': 10, 'tabular': 1}}"
Rosa pimpinellifolia,phanerophyte,Coastal dune scrub,Stem erect ;shrub,Clones formed by suckering from roots;suckers;adventitious buds on roots,stems,0.4;0.2;0.25; 0.1; 0.6,stiff hairs,stiff hairs,,,,,compound,obtuse,,toothed,glandular,,,,,corymbs,,,,,,cream;pink;white;yellow,,,,hermaphrodite,,,,,,,insect,,dry,,subglobose,black;purplish,,,,,bird;   commerce,bristles;hairs,,15,01-Oct,,,,,,,,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 10, 'tabular': 14}, 'fna': {'tabular': 0}}"
Rubus chamaemorus,perennials;hemicryptophyte;annual,"Mire. bog and fen habitats;Tundra;Bogs, muskeg, wet meadows, mossy woods, boreal forests, peaty tundra, lichen peat polygons, exposed sandy areas, lakesides, gravelly stream beds, rock outcrops;Valley mires. poor fens and transition mires",Stem erect ,Rhizome far creeping;rhizomes;hypogeogeneous stems;rhizome,stems;rhizomes;rhizome;Stems,0.05;0.125; 0.05;0.2,pubescent;soft hairs,unarmed;Unarmed;soft hairs,,simple,palmately,abaxial,orbicular;reniform;simple;lobed,lobed;obtuse,cordate;rounded;simple,lobed and toothed;dentate;serrate,soft hairs,8;1.5,8;12,2.5;1.5,8;6,,unisexual,,,,,White,,white,,hermaphrodite,,,,,,,insect,,,,globose,red;orange;yellow,,,,,,filaments,,20,10-100,,,,,,,56,adventitious,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 16, 'tabular': 15}, 'fna': {'text': 19, 'tabular': 1}}"
Rubus fruticosus,perennial;phanerophyte;biennial,,,spacers above and renewal buds below soil surface: offspring tubers at distal end of above-ground stems;seed,stems,2,,,,,,,compound,acute,,toothed,,,,,,panicles,,,,,,White;black;pink;red;white,,,,hermaphrodite,,,,,,,insect,,,,,,,,,,,bristles;hairs,,,10-100,,,,,,hexaploids;triploids,,,,,"{'leda': {'tabular': 1}, 'ecoflora': {'text': 7, 'tabular': 9}, 'fna': {'tabular': 0}}"
Rumex acetosa,perennial;perennials;hemicryptophyte,"Woodland fringes and clearings and tall forb habitats;Alpine and subalpine grasslands;Tundra;Waste places, meadows, cultivated fields, alluvial habitats;Grassland and tall forb habitats;Dry grasslands;Broadleaved deciduous woodland",Stem erect ,root-splitters;Little or no vegetative spread;epigeogeneous stems,stem;stems;Stems,1.0; 0.475; 0.04;1.0,glabrous,glabrous,,,,parallel,broad;lanceolate;simple;ovate;hastate;flat;oblong;sagittate;triangular;obtuse,acute;ovate;subacute;triangular;obtuse,sagittate;hastate,laciniate;entire;flat;ovate,glabrous,10;4,10;6,10,15;10,paniculate,,,,,branches;branched,green,,,,dioecious,,,,,,,wind,,,,orbicular,,,,,,bird;water;   sheep;   car or other vehicle;   sheep-dummy;   hay making machinery;   cattle;domestic animal;   shaken fresh water;   clothes and footwear,,,,,,,,,,,14,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 12, 'tabular': 12}, 'fna': {'text': 15, 'tabular': 1}}"
Rumex acetosella,perennial;perennials;annuals;hemicryptophyte,"Weathered rock and outcrop habitats;Roadsides, cultivated fields, waste places, disturbed areas, lawns, meadows, railroad gravels, sandy and muddy shores: usually in acidic soils",Stem erect ,rhizomes;buds;adventitious buds on roots;Clones formed by suckering from roots;root-splitters,stem;stems;rhizomes;Stems,0.4;0.15,glabrous,,,,,distal,elliptic;obovate;obtuse;broad;pointing;lanceolate;simple;ovate;multifid;hastate;flat;oblong;linear;cuneate,obtuse;ovate;acute;cuneate,hastate;cuneate,elliptic;entire;ovate;flat;linear;cuneate,,0.3;4,2;4,2;4,6;4,panicle;paniculate,,,,,slender,green,,,,dioecious,,,,,,,wind,,,,,,,,,,bird;   rabbit;water;   pig;   sheep;   goat;   car or other vehicle;   cattle;   horse;domestic animal;   shaken fresh water;   mammal;   hare,,,,,,,,,,,14,tap root;adventitious,deep,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 13, 'tabular': 11}, 'fna': {'text': 15, 'tabular': 1}}"
Rumex conglomeratus,biennial;perennials;perennial;hemicryptophyte,"Marshes, wet meadows, shores, alluvial woods, ditches, wet waste places",Stem erect ,root-splitters;Little or no vegetative spread,stem;stems;Stems,1.0;1.0; 0.45,glabrous;papillose,,,,,,undulate;obovate;obtuse;lanceolate;simple;flat;oblong;cuneate,obtuse;acute;subcordate;subacute;truncate;cuneate,subcordate;truncate;rounded;cuneate,undulate;entire;flat;cuneate,glabrous,2.5,6,10,30,paniculate,,,,,branches;branched,green,,,,hermaphrodite,,,,,,,wind,,,,oblong;ovate;obtuse,,,,,,bird;water;   cattle;   shaken fresh water;domestic animal,,,,,,,,,,,20,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 6, 'tabular': 10}, 'fna': {'text': 14, 'tabular': 1}}"
Rumex crispus,perennial;perennials;annuals;hemicryptophyte;biennial;strict monocarpic bi-annuals and poly-annuals,"Very broad range of ruderal, segetal, and seminatural habitats, disturbed soil, waste places, cultivated fields, roadsides, meadows, shores of water bodies, edges of woods;Broadleaved deciduous woodland",Stem erect ,root-splitters;adventitious buds on roots;Little or no vegetative spread;epigeogeneous stems,stem;stems;Stems,0.3;1.5;0.9; 0.3; 0.725,glabrous;papillose,,,simple,,,undulate;tapering;lanceolate;simple;point;branches;branched;truncate;oblong;linear;cuneate;obtuse,cuneate;acute;obtuse,cordate;simple;rounded;cuneate,undulate;entire;branches;branched;linear;cuneate,,2;30,6;30,30,35;30,paniculate,,,,,branches;straight,green,,,,hermaphrodite,,,,,,,wind,,,,,,,,,,bird;water;   pig;   sheep;   car or other vehicle;   hay making machinery;   seed contamination;   cattle;domestic animal,,,,,,,,,,,60,tap root,deep,100,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 11, 'tabular': 12}, 'fna': {'text': 14, 'tabular': 1}}"
Rumex sanguineus,perennial;perennials;hemicryptophyte,"Moist alluvial and riparian habitats, ruderal places, ballast grounds;Broadleaved deciduous woodland;Lowland habitats colonised by tall nitrophilous herbs",Stem erect ,root-splitters;Little or no vegetative spread;epigeogeneous stems,stem;stems;Stems,1.0; 0.575;1.0,glabrous;papillose,,,,,,undulate;obovate;lanceolate;ovate;simple;attenuate;flat;oblong;cuneate,acute;ovate;subcordate;subacute;attenuate;truncate;cuneate,rounded;subcordate;attenuate;truncate;cuneate,undulate;entire;ovate;flat;repand;cuneate,thick cuticle,2.5,6,10,30,paniculate,,,,,branches;branched,green,,,,hermaphrodite,,,,,,,wind,,,,oblong;obtuse,,,,,,water;   pig;   cattle;   shaken fresh water;   wild boar,,,,,,,,,,,20,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 7, 'tabular': 10}, 'fna': {'text': 14, 'tabular': 1}}"
Sagina nodosa,perennial;perennials;hemicryptophyte,,procumbent;Stem ascending to prostrate ,root-splitters;Seeds;Little or no vegetative spread,stem;stems;Stems,0.1; 0.05; 0.04;0.15;0.05,pubescent;glandular hairs;glabrous,glandular hairs,,,,cauline;distal;Rosette;lateral,subulate;linear;simple,mucronate,fleshy,entire;linear,glandular,0.1,2,0.1,2,,,,5-merous,,,white,,white,,hermaphrodite,8;10;10;5,,,,,,insect,capsule,,,ovoid,,,,,,domestic animal;water;   shaken fresh water,,brown,,,0.5;0.4,0.5;0.4,0.5;0.4,0.5;0.4,,,,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 22, 'tabular': 12}, 'fna': {'text': 14, 'tabular': 0}}"
Sagina procumbens,perennial;perennials;annuals;hemicryptophyte;strict monocarpic bi-annuals and poly-annuals,"Weedy, wet or damp, gravelly or sandy soils along roadsides, sidewalk cracks, margins of paths or lawns, pond and lake margins, coastal rocks and sands, sea cliffs;Cultivated areas of gardens and parks",mat;Stem prostrate ;procumbent;Stem ascending to prostrate ,root-splitters;Seeds;Little or no vegetative spread;rooting horizontal stems at or above soil surface,stem;stems;Stems,0.2; 0.06;0.2,glabrous,,,,,procumbent,subulate;linear;simple,apiculate;aristate;mucronate,,entire;ciliate;linear,glabrous;soft hairs,0.5;0.8,1.2;1.7,0.5;0.8,1.2;1.7,,,,4-merous;5-merous,,,white,,white,,hermaphrodite,4,,,,,,selfed,,,,,,,,,,   rabbit;bird;water;   pig;   sheep;   deer;   car or other vehicle;   hay making machinery;   cattle;   horse;domestic animal;   shaken fresh water;   clothes and footwear;   mammal;   hare,awn,brown,135,10-100,0.4;0.3,0.5,0.4;0.3,0.5,,,22,,shallow,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 19, 'tabular': 13}, 'fna': {'text': 22, 'tabular': 1}}"
Sagina saginoides,perennial;chamaephyte,"Tundra;Montane sites, open or light shade, wet places on lake margins, along stream gravels and seepages in rock ledges and roadcuts, subalpine and alpine zones",procumbent;Stem ascending to prostrate ,root-splitters;Seeds;Little or no vegetative spread,Stem;Stems,0.02;0.07;0.045; 0.035; 0.02,glabrous,glabrous,,,,,linear;simple,mucronate,,entire;linear,glabrous,0.5,1,0.5,1,,,,4-merous;5-merous,,slender,white,,white,,hermaphrodite,10;5;10,,,,,,insect,,,,,,,,,,   shaken fresh water;   chamois;   cattle,awned,brown,,,0.3,0.4;0.3,0.3,0.4;0.3,,,22,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 18, 'tabular': 12}, 'fna': {'text': 13, 'tabular': 1}}"
Salix aurita,perennials;phanerophyte,"Wet thickets, swamps;[Salix] carr and fen scrub",Stem erect ;Shrubs;shrub,Buds;Little or no vegetative spread,stipe;Stems,2.5;1.0;1.75; 1.0;2,glabrous,glabrous,,,,oblique;abaxial;erect;adaxial,elliptic;obovate;broad;simple;serrate;convex;revolute;acuminate;oblong;dentate;cuneate;undulate,cuspidate;acute;convex;acuminate;cuneate;obtuse,cuneate,elliptic;entire;serrate;toothed;revolute;crenate;acuminate;cuneate;undulate,soft hairs,1.4;3,3.5;4,4;2.7,6;8.5,,,,,,,green,,,,dioecious,,,,,,,insect,capsule,,,ovoid,,,,,,,hairs;filaments,,,,,,,,,,76,,,,"{'leda': {'tabular': 4}, 'ecoflora': {'text': 15, 'tabular': 12}, 'fna': {'text': 13, 'tabular': 1}}"
Salix cinerea,perennials;phanerophyte,"Stream shores, mesic woodlands, gravelly or sandy beaches, waste ground;[Salix] carr and fen scrub",Stem erect ;Shrubs;shrub;tree,Buds;adventitious buds on roots;Little or no vegetative spread,stipe;Stems,10;10.0;2.0;2.75,soft hairs,soft hairs,,,,abaxial;erect;adaxial,oblanceolate;elliptic;obovate;simple;revolute;convex;acuminate;oblong;cuneate,obtuse;acute;convex;acuminate;cuneate,rounded;cuneate,elliptic;entire;revolute;toothed;crenate;acuminate;sinuate;cuneate,glabrous;soft hairs,2.2,5.2,6.5,10,,,,,,,green,,,,dioecious,,,,,,,insect,capsule,,,ovoid,,,,,,   shaken fresh water,filaments;hairs,,,,,,,,,,76,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 8, 'tabular': 12}, 'fna': {'text': 13, 'tabular': 1}}"
Salix herbacea,chamaephyte,"Alpine and subalpine grasslands;Snowbeds and places with good snow protection, well-drained riverbanks, sandy beaches, granite boulder ridges, steep bouldery slopes, or in marshes, usually on non-calcareous substrates, places exposed to sea-spray",mats;Stem prostrate ;dwarf shrub,rooting horizontal stems at or above soil surface;rhizomes;hypogeogeneous stems;epigeogeneous stems;buds;Buds;Rhizome far creeping,rhizomes;stipe;Stems,0.06;0.005-0.05;0.06; 0.03;0.02-0.03,glabrous,glabrous,,,,abaxial;adaxial,elliptic;retuse;subcircular;circular;simple;convex;flat,emarginate;convex;subcordate;retuse,subcordate;cordate;rounded,crenulate;elliptic;toothed;crenate;flat,glabrous,1.7,3.1,2.1,3.4,,,,,,,green,,,,dioecious,,,,,,,insect,capsule,,,lanceolate,purple,,,,,   shaken fresh water,filaments,,,,,,,,,,38,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 8, 'tabular': 12}, 'fna': {'text': 16, 'tabular': 1}}"
Salix repens,perennials;phanerophyte,,Stem erect ;procumbent;shrub;Stem ascending to prostrate ,Buds;rooting horizontal stems at or above soil surface;Rhizome far creeping;rhizome,rhizome;Stems,0.6; 1.5;1.5,soft hairs,soft hairs,,,,,straight;broad;lanceolate;simple;revolute;oblong;recurved;cuneate;obtuse,obtuse;straight;acute;recurved;cuneate,rounded;cuneate,straight;entire;serrulate;revolute;recurved;cuneate,glabrous;soft hairs,0.4,2.5,0.5,4.5,,,,,,,green,,,,dioecious,,,,,,,insect,capsule,,,,,,,,,water;   cattle,filaments,,,,,,,,,,,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 15, 'tabular': 12}, 'fna': {'tabular': 0}}"
Salix reticulata,chamaephyte,"Arctic-alpine, polygonal tundra, dry tussock tundra, partially stabilized sand dunes, sedge meadows, Dryas tundra on alpine cliffs and ledges, snowbeds, stabilized talus slopes, white spruce woods, treed bogs;Alpine and subalpine grasslands",Stem prostrate ;dwarf shrub,rooting horizontal stems at or above soil surface;epigeogeneous stems;Buds;Rhizome shortly creeping;rhizome,stem;stipe;rhizome;Stems,0.03-0.15;0.2;0.1; 0.03; 0.15; 0.05;0.15;0.05,pubescent;glabrous,glabrous,,,,abaxial;adaxial,elliptic;retuse;broad;subcircular;circular;simple;revolute;convex;orbicular;oblong;cuneate,retuse;convex;subcordate;cuneate;obtuse,subcordate;cordate;rounded;cuneate,elliptic;crenulate;entire;revolute;cuneate,glabrous;soft hairs,0.8;3,5,1.2;3,6.6;5,,,,,,,green,,,,dioecious,,,,,,,insect,capsule,,,ovoid,,,,,,   shaken fresh water;water,filaments;hairs,,,,,,,,,,38,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 17, 'tabular': 12}, 'fna': {'text': 14, 'tabular': 1}}"
Samolus valerandi,perennial;hemicryptophyte,,"Stem erect ;Submerged, attached to the substrate",Seeds;Little or no vegetative spread;epigeogeneous stems,Stem,0.6;0.325; 0.05; 0.21;0.45;0.05,glabrous,glabrous,,simple,,alternate;cauline;basal;rosette;terminal,obovate;obtuse;spatulate;simple;branched;cuneate,acute;cuneate;obtuse,simple;cuneate,entire;branched;cuneate,glabrous,2,4,1,26,,,,,,,white,,,,hermaphrodite,5,,,,,,selfed,,,,,,,,,,   shaken fresh water;water,filaments,brown,,,0.5,0.5,0.5,0.5,,,,,,,"{'leda': {'tabular': 4}, 'ecoflora': {'text': 22, 'tabular': 12}, 'fna': {'tabular': 0}}"
Sanguisorba minor,perennial;perennials;hemicryptophyte,Perennial calcareous grassland and basic steppes,Stem erect ;Stem ascending to prostrate ,root-splitters;Little or no vegetative spread;epigeogeneous stems,Stems,0.15;0.4;0.275; 0.2; 0.15,glabrous,glabrous,,pinnate,,Cauline,oblong;compound;pinnate,obtuse,,toothed,glabrous,,,,,heads,,,,,elongated,green,,,,gynoandromonoecious,,,,,,,wind,,,,rugose;undulate,,,,,,water;   sheep;   seed contamination;   cattle;   commerce,hairs,,3,01-Oct,,,,,,,,tap root,deep,50.0-100.0,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 11, 'tabular': 17}, 'fna': {'tabular': 0}}"
Sanguisorba officinalis,perennial;perennials;hemicryptophyte,"Muskeg, fens, bogs, swamps, tundra, stream banks (especially in ice-scoured areas), often on serpentine rock;Cultivated areas of gardens and parks",Stem erect ,Little or no vegetative spread;epigeogeneous stems,stem;Stems,1.0;0.3;0.65; 0.475; 0.3;1,glabrous;Glabrous,glabrous,,pinnate,,cauline,ovate;compound;branched;truncate;oblong;cuneate,cuneate;ovate;obtuse,cordate;rounded;cuneate,toothed;ovate;branched;cuneate,glabrous,1;5,2;5,7;1,7;2,,,,,,,purple,,,,hermaphrodite,4,,,1;1,,,insect,,,,,,,,,,water;   sheep;   cattle;   shaken fresh water;   standing fresh water;   commerce,filaments,,,,,,,,,,56,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 14, 'tabular': 12}, 'fna': {'text': 11, 'tabular': 1}}"
Saussurea alpina,perennial;chamaephyte,Arctic. alpine and subalpine scrub habitats;Tundra,Stem erect ,hypogeogeneous stems;Shortly creeping stolons in illuminated medium;stolons;epigeogeneous stems,stem;stems;stolons,0.07-0.45;0.07;0.45;0.2; 0.07; 0.08,grooved;scaly;soft hairs,soft hairs,,,sessile,Basal,elliptic;simple;ovate,acute;ovate,,toothed;elliptic;ovate,soft hairs,10,18,10,18,,,,,,,purple,,,,hermaphrodite,,,,,,,insect,,,,,,,,,,   shaken fresh water,pappus;bristles;hairs,,,,,,,,,,,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 15, 'tabular': 12}, 'fna': {'tabular': 0}}"
Saxifraga aizoides,Perennial;chamaephyte,"Rocky, often calcareous seepage areas, stream banks, silty flats, gravel bars and beach ridges, crevices, arctic tundra, enriched sites;Tundra;Glacial moraines with very sparse or no vegetation",Stem erect ;cushion;Stem ascending to prostrate ,Extensively creeping and rooting at nodes;rooting horizontal stems at or above soil surface;stoloniferous;epigeogeneous stems;rhizomatous;root-splitters,stems;stoloniferous;rhizomatous,0.05;0.125; 0.05; 0.11; 0.02;0.2,,,,,sessile,cauline,elliptic;simple;oblong;linear;obtuse,apiculate;acute;obtuse,,elliptic;entire;spinose;ciliate;linear,glabrous;thick cuticle,0.3;1,2.2;2,0.3;1,2.2;2,,,,,,triangular,yellow,,red;orange;yellow,,hermaphrodite,,,,,,,insect,,,,ovoid,,,,,,   shaken fresh water;water,hairs,,,,,,,,,,26,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 15, 'tabular': 10}, 'fna': {'text': 15, 'tabular': 1}}"
Saxifraga hirculus,perennial;hemicryptophyte,"Wet, usually mossy, arctic or alpine tundra, wet alpine meadows",Stem erect ;erect leafy,rooting horizontal stems at or above soil surface;stoloniferous;epigeogeneous stems;rhizomatous;Rhizome shortly creeping,stoloniferous;stems;rhizomatous,0.1-0.2;0.1;0.15; 0.1; 0.09;0.2,,,,,,cauline;basal;distal,oblanceolate;spatulate;lanceolate;simple;acuminate;oblong;linear;obtuse,acute;acuminate;obtuse,fleshy,entire;ciliate;linear;acuminate,glabrous,1,3,1,3,solitary flowers;cymes,,,,,triangular,purplish;yellow;brown,,cream;orange;yellow,,hermaphrodite,,,,,,,insect,,,,oblong;ovoid,,,,,,   shaken fresh water,hairs,,,,,,,,,,16,,,,"{'leda': {'tabular': 4}, 'ecoflora': {'text': 15, 'tabular': 9}, 'fna': {'text': 17, 'tabular': 1}}"
Saxifraga hypnoides,perennial;chamaephyte,,Stem erect ;mats;procumbent,bulbils;rooting horizontal stems at or above soil surface;Extensively creeping and rooting at nodes;bud,,0.05-0.2;0.15;0.05;0.2;0.125; 0.05; 0.07,glabrous,glabrous,,,,rosettes;cauline,simple;lobed,acute;lobed,,entire;ciliate;lobed,soft hairs,1,1,1,1,,,,,,,red,,white,,hermaphrodite,,,,,,,insect,,,,,,,,,,,hairs,,,,,,,,,,,adventitious,,,"{'leda': {'tabular': 3}, 'ecoflora': {'text': 14, 'tabular': 13}, 'fna': {'tabular': 0}}"
Saxifraga oppositifolia,perennial;chamaephyte,,cushions;mats;Stem ascending to prostrate ;Stem prostrate ;cushion,Extensively creeping and rooting at nodes;rooting horizontal stems at or above soil surface;stoloniferous;rhizomatous;root-splitters,stems;stoloniferous;rhizomatous,0.02;0.14;0.05,glabrous,glabrous,,,sessile,cauline;alternate;opposite;crowded,obovate;concave;simple;flattened;oblong;obtuse,concave;obtuse,,entire;ciliate,glabrous;soft hairs,0.2,0.6;0.5,0.2,0.6;0.5,solitary flowers,,,,,ovate,purple,,violet;white;pink;purple,,hermaphrodite,,,,,,,insect,,,,,,,,,,,bristly,,274,100-1000,,,,,,,,adventitious,,,"{'leda': {'tabular': 3}, 'ecoflora': {'text': 13, 'tabular': 15}, 'fna': {'text': 17, 'tabular': 0}}"
Saxifraga stellaris,perennial;hemicryptophyte,Tundra,Stem erect ,rooting horizontal stems at or above soil surface;stoloniferous;Little or no vegetative spread;epigeogeneous stems,stoloniferous;stems,0.2; 0.03;0.2,,,,,,,oblanceolate;dentate;simple;obovate,subacute;acute,,toothed;serrate,soft hairs,0.5,3,0.5,3,panicle,,,,,,white,,white;yellow,,hermaphrodite,,,,,,,insect,,,,,,,,,,   shaken fresh water;water,filaments;hairs,,160,10-100,,,,,,,,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 14, 'tabular': 12}, 'fna': {'tabular': 0}}"
Scheuchzeria palustris,perennial;helophyte,"Valley mires. poor fens and transition mires;Sphagnum bogs, marshes, and lake margins",Stem erect ,hypogeogeneous stems;epigeogeneous stems;Rhizomes;Seeds;Rhizome far creeping;Rhizome,Stems;Rhizomes;Rhizome,0.15;0.1;0.2,glabrous,,,,,cauline,striate;simple,obtuse,,entire,,,,2,41,raceme,,tepals,,,lanceolate;ovate,greenish-yellow;green;white;yellow,,,,hermaphrodite,6,,,,,,wind,,,,,,,,,,   shaken fresh water;water,filaments;hairs,black;brown,,,4,5,4,5,,,22,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 6, 'tabular': 9}, 'fna': {'text': 17, 'tabular': 1}}"
Schoenus ferrugineus,perennial;perennials;hemicryptophyte,Rich fens. including eutrophic tall-herb fens and calcareous flushes and soaks,Stem erect ,Tussock forming graminoid;epigeogeneous stems;hypogeogeneous stems;Rhizomes,Stems;stem;Rhizomes,0.1-0.4;0.4;0.1;0.225,glabrous,glabrous,,,,,involute;simple,acute,,entire;involute,glabrous,0.05,0.07,1,8,,,,,,,black,,,,hermaphrodite,3,,,,,,wind,,,,,,,,,,   shaken fresh water;water,Bristles,white,,,1,1,1,1,,,,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 18, 'tabular': 12}, 'fna': {'tabular': 0}}"
Schoenus nigricans,perennial;hemicryptophyte,"Damp, calcareous or alkaline grasslands;Moist or wet eutrophic and mesotrophic grassland;Coastal saltmarshes and saline reedbeds",Stem erect ,Tussock forming graminoid;epigeogeneous stems;Rhizomes,Stems;stem;Rhizomes,0.15;0.75;0.3,glabrous,glabrous,,,,basal,involute;simple,acute,,entire;involute,glabrous,0.08;0.05,0.2,40;10,40,,,,,,,black;blackish,,,,hermaphrodite,3,,,,,,wind,,,,,,,,,,   shaken fresh water;water,Bristles;bristles,white,,,1,1.9,1,1.9,,,54,,,10.0-50.0,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 19, 'tabular': 13}, 'fna': {'text': 11, 'tabular': 1}}"
Scilla verna,perennial;geophyte,,Stem erect ,Tuberous or bulbous slowly cloning by offsets;bulb;seeded,bulb,0.15;0.05,glabrous,,,,,,simple,acute,,entire,glabrous,,,,,raceme;corymbose,,,,,,blue,,,,hermaphrodite,,,,,,,insect,capsule,,,subglobose,,,,,,   ant,Filaments,,12,01-Oct,,,,,,,,,,,"{'leda': {'tabular': 2}, 'ecoflora': {'text': 8, 'tabular': 12}, 'fna': {'tabular': 0}}"
Scirpus cespitosus,perennial;hemicryptophyte,Dry heaths;Tundra;Raised bogs,"Stem erect ;Emergent, attached to the substrate ",Tussock forming graminoid;Rhizomes,Stems;stem;Rhizomes,0.25;0.05;0.35000000000000003;0.05-0.35,,,,,,,absent,not applicable,,not applicable,,,,,,,,,,,,yellow brown,,,,hermaphrodite,3,,,,,,wind,,,,,,,,,,water,Bristles;bristles,,,,2,2,2,2,,,,adventitious,deep,50.0-100.0,"{'leda': {'tabular': 4}, 'ecoflora': {'text': 10, 'tabular': 12}, 'fna': {'tabular': 0}}"
Scirpus fluitans,perennial;hydrophyte,Pioneer and ephemeral vegetation of periodically inundated shores;Hedgerows,"Floating leaves, attached to the substrate ",Irregularly fragmenting (mainly water plants),Stems,0.15;0.4;0.025,,,,,,,subulate;linear;flat;simple,acute,,entire;linear;flat,,0.11,0.11,0.02,0.02,,,,,,,pale green,,,,hermaphrodite,,,,,,,wind,,,,,,,,,,bird,Bristles,brown,,,0.9,1.8,0.9,1.8,,,,,,,"{'leda': {'tabular': 4}, 'ecoflora': {'text': 15, 'tabular': 9}, 'fna': {'tabular': 0}}"
Scirpus maritimus,perennial;perennials;helophyte,Highly artificial saline and brackish running waters;Shifting coastal dunes;Moist and wet dune slacks,Stem erect ,Rhizome,Stems;Rhizome,0.65;0.3-1;0.3;1.0,glabrous,,,,,,keeled;simple,acute,,entire,glabrous,1,1,,,corymbose,,,,,,red-brown,,,,hermaphrodite,3,,,,,,wind,,,,,,,,,,   shaken fresh water;water,Bristles;awned;filaments,brown,,,2.2,4,2.2,4,,,,adventitious,shallow,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 16, 'tabular': 11}, 'fna': {'tabular': 0}}"
Scirpus setaceus,perennial;therophyte;annual,Trampled areas;Moist or wet eutrophic and mesotrophic grassland;Pioneer and ephemeral vegetation of periodically inundated shores,Stem erect ,Little or no vegetative spread;Rhizomes,stem;stems;Rhizomes,0.06;0.15;0.03,,,,,,,subulate;simple,acute,,entire,,,,,,,,,,,,,,,,hermaphrodite,1,,,,,,wind,,,,,,,,,,domestic animal;water;bird;   cattle,,,,,,,,,,,,,,,"{'leda': {'tabular': 4}, 'ecoflora': {'text': 6, 'tabular': 8}, 'fna': {'tabular': 0}}"
